"","Player","Team","Season","Minutes","Claiming","Fielding","Handling","Passing","Shotstopping","Sweeping","Goals Added"
"","Phallon Tullis-Joyce","RGN","2022","785","-0.00","-0.00","0.01","0.02","0.03","0.01","0.06"
"","Abby Smith","KC","2021","790","0.00","-0.01","0.02","0.07","-0.05","0.02","0.06"
"","Britt Eckerstrom","POR","2019","982","0.01","0.00","0.04","0.04","-0.05","0.01","0.06"
"","Ashlyn Harris","ORL","2018","2060","-0.00","-0.00","0.02","0.05","-0.03","0.01","0.05"
"","Stephanie Labbé","NC","2019","1786","-0.02","0.00","0.02","0.08","-0.01","-0.02","0.05"
"","Casey Murphy","RGN","2019","2003","-0.00","0.00","-0.00","0.04","0.00","0.00","0.04"
"","Emily Boyd","CHI","2019","986","0.00","-0.03","0.03","0.07","-0.03","-0.01","0.04"
"","Alyssa Naeher","CHI","2018","2239","0.00","0.01","0.00","0.08","-0.07","0.01","0.03"
"","Adrianna Franch","POR","2016","584","0.00","0.00","-0.05","0.06","0.03","-0.01","0.03"
"","Jane Campbell","HOU","2017","1556","0.01","-0.00","0.01","0.06","-0.04","-0.01","0.02"
"","Kailen Sheridan","NJY","2017","2138","-0.01","-0.05","-0.00","0.09","-0.01","-0.00","0.02"
"","Bella Bixby","POR","2022","490","0.00","0.00","0.05","0.04","-0.01","-0.07","0.02"
"","Katelyn Rowland","NC","2018","1843","-0.01","0.01","-0.00","0.07","-0.05","-0.00","0.02"
"","Adrianna Franch","POR","2019","1470","-0.00","0.00","0.03","0.06","-0.07","0.00","0.02"
"","Ashlyn Harris","ORL","2017","1309","-0.01","0.00","-0.02","0.04","-0.01","0.00","0.01"
"","Devon Kerr","WAS","2022","49","0.00","-0.00","0.00","0.02","0.00","-0.01","0.01"
"","Jane Campbell","HOU","2018","2346","-0.01","0.00","0.01","0.07","-0.09","0.00","-0.00"
"","Ashlyn Harris","ORL","2019","1279","-0.02","-0.02","0.01","0.05","-0.01","-0.01","-0.00"
"","Britt Eckerstrom","POR","2018","970","-0.02","0.00","0.03","0.05","-0.09","0.03","-0.01"
"","Nicole Barnhart","UTA","2018","711","0.00","-0.00","0.02","0.06","-0.11","0.01","-0.01"
"","Stephanie Labbé","WAS","2016","769","-0.00","0.00","-0.02","0.07","-0.09","0.01","-0.03"
"","Nicole Barnhart","KC","2016","1942","-0.00","-0.03","-0.04","0.06","-0.02","-0.00","-0.03"
"","Jane Campbell","HOU","2019","2335","-0.02","-0.02","-0.00","0.07","-0.05","-0.01","-0.04"
"","Carly Nelson","KC","2021","100","-0.07","0.01","0.00","0.09","0.00","-0.09","-0.07"
"","Nicole Barnhart","KC","2017","2339","-0.01","0.00","-0.01","0.04","-0.09","-0.00","-0.07"
"","Hope Solo","RGN","2016","777","-0.04","-0.00","-0.05","0.06","-0.04","-0.00","-0.08"
"","Dijana Haracic","LA","2022","687","-0.00","0.00","0.05","0.06","-0.20","0.00","-0.09"
"","Lindsey Harris","HOU","2021","688","-0.01","-0.00","-0.02","0.04","-0.10","0.01","-0.09"
"","Michele Dalton","CHI","2016","683","0.01","-0.00","-0.02","0.03","-0.15","0.03","-0.09"
"","Michelle Betos","POR","2016","1497","-0.00","-0.00","-0.01","0.07","-0.13","-0.01","-0.09"
"","Phallon Tullis-Joyce","RGN","2021","7","0.00","0.00","0.00","-0.05","0.00","-0.05","-0.09"
"","Jordyn Bloomer","LOU","2022","101","-0.00","-0.00","-0.08","0.06","-0.08","-0.00","-0.10"
"","Alyssa Naeher","CHI","2021","976","-0.00","0.00","0.02","0.05","-0.17","-0.00","-0.11"
"","Kelsey Wys","WAS","2016","1447","-0.01","0.00","0.03","0.05","-0.19","0.00","-0.11"
"","Caroline Casey","NJY","2016","952","0.00","-0.01","0.01","0.04","-0.16","-0.00","-0.12"
"","Bianca Henninger","HOU","2016","493","0.01","-0.02","0.01","0.06","-0.18","-0.00","-0.12"
"","Cassie Miller","CHI","2021","1987","0.00","0.00","0.02","0.04","-0.18","-0.00","-0.12"
"","Lydia Williams","RGN, HOU","2017","1072","-0.00","-0.00","0.01","0.07","-0.20","-0.01","-0.14"
"","Stephanie Labbé","WAS","2017","1654","-0.00","0.00","-0.00","0.09","-0.23","-0.01","-0.16"
"","Kelsey Wys","WAS","2018","96","0.00","0.01","-0.02","0.08","-0.21","-0.01","-0.16"
"","Sabrina D'Angelo","NC","2017","777","-0.01","-0.03","0.01","0.07","-0.18","-0.02","-0.16"
"","Stephanie Labbé","NC","2020","396","0.00","-0.01","-0.03","0.07","-0.20","0.01","-0.16"
"","Katelyn Rowland","NC","2022","890","-0.00","-0.03","0.01","0.05","-0.23","0.02","-0.17"
"","Nicole Barnhart","KC","2021","724","-0.03","-0.00","0.01","0.03","-0.19","0.01","-0.18"
"","Andi Tostanoski","RGN","2016","156","0.27","-0.01","-0.04","0.08","-0.55","0.04","-0.20"
"","Abby Smith","UTA","2020","708","0.00","-0.01","0.02","0.06","-0.19","-0.08","-0.20"
"","Ashlyn Harris","ORL","2016","1469","0.00","0.00","-0.02","0.06","-0.25","-0.01","-0.21"
"","Madalyn Schiffel","RGN","2017","95","0.01","0.00","0.01","0.07","0.00","-0.32","-0.22"
"","Jane Campbell","HOU","2020","1105","0.00","0.00","-0.00","0.07","-0.23","-0.06","-0.22"
"","Erin McLeod","ORL","2022","296","-0.01","0.00","-0.02","0.03","-0.23","-0.01","-0.24"
"","Anna Moorhouse","ORL","2022","290","-0.00","0.00","0.10","0.04","-0.38","0.00","-0.25"
"","Brittany Wilson","ORL","2020","98","0.00","0.01","0.01","0.08","-0.55","0.20","-0.25"
"","Abby Smith","UTA","2018","1638","-0.01","-0.00","-0.00","0.07","-0.32","0.01","-0.25"
"","Samantha Leshnak","NC","2019","196","0.01","0.00","-0.04","0.06","-0.15","-0.15","-0.26"
"","Katelyn Rowland","NC","2020","505","0.00","-0.00","-0.01","0.06","-0.31","-0.00","-0.27"
"","Katelyn Rowland","NC, KC","2021","693","0.01","-0.00","0.02","0.05","-0.29","-0.07","-0.28"
"","Katelyn Rowland","WNY","2016","590","0.01","-0.01","0.01","0.06","-0.39","0.01","-0.31"
"","Adrianna Franch","KC","2022","585","0.00","-0.00","0.03","0.05","-0.39","-0.01","-0.31"
"","Lydia Williams","HOU","2016","1446","0.00","-0.01","-0.04","0.06","-0.34","0.00","-0.31"
"","Libby Stout","BOS","2016","935","0.01","-0.03","-0.02","0.06","-0.40","0.07","-0.32"
"","Sabrina D'Angelo","WNY","2016","1327","-0.01","0.00","-0.02","0.06","-0.36","0.00","-0.32"
"","Dijana Haracic","WAS","2017","686","-0.05","-0.03","0.02","0.05","-0.31","-0.06","-0.38"
"","Lindsey Harris","HOU","2022","101","-0.16","-0.00","-0.05","0.04","-0.26","0.00","-0.43"
"","Caroline Stanley","NJY","2016","1003","-0.01","0.00","-0.01","0.06","-0.48","-0.02","-0.46"
"","Kaitlyn Savage","ORL","2016","390","0.00","-0.04","0.07","0.06","-0.58","0.00","-0.49"
"","Erin McLeod","ORL","2021","534","0.00","-0.00","-0.01","0.05","-0.55","0.00","-0.50"
"","Amanda Dennis","HOU","2021","100","0.00","-0.00","-0.00","0.05","-0.58","-0.00","-0.54"
"","Caroline Casey","NJY","2018","99","0.00","-0.00","0.02","-0.07","-0.50","0.00","-0.54"
"","Jane Campbell","HOU","2022","587","-0.00","0.00","0.03","0.04","-0.65","-0.00","-0.59"
"","Katelyn Rowland","NC","2019","591","0.00","-0.00","0.01","0.07","-0.77","0.02","-0.67"
"","Amanda McGlynn","NJY","2021","52","0.01","-0.00","0.02","0.06","-0.77","-0.02","-0.70"
"","Michele Dalton","CHI","2017","190","0.00","0.01","0.02","-0.08","-0.72","-0.00","-0.77"
"","Melissa Lowder","UTA","2020","97","0.02","-0.00","0.00","0.07","-0.89","0.04","-0.77"
"","Jami Kranich","BOS","2016","873","-0.00","0.00","-0.00","0.05","-0.86","-0.03","-0.84"
"","Lydia Williams","RGN","2019","95","0.00","-0.00","0.08","0.06","-1.09","0.02","-0.93"
"","Carly Telford","SD","2022","197","-0.00","-0.00","0.04","0.05","-1.15","0.00","-1.05"
"","Lainey Burdett","ORL","2019","101","0.01","0.01","0.03","0.06","-1.51","0.00","-1.39"
"","Aubrey Bledsoe","ORL","2016","96","-0.01","0.00","0.03","0.09","-1.57","-0.01","-1.47"
"","Dijana Haracic","NJY","2020","51","0.00","-0.00","-0.02","0.06","-1.75","-0.88","-2.59"
